title,review,score,mall,date,reviewer
최고예요,1.친정식구 두분이 사용2.김치냉장고 두대 사용3.요리하시는걸 좋아하심4. 25평 오래된 아파트 구조라 냉장고 자리 협소위 조건을 따져가며 눈이 아프게 검색을 했습니다하도 요새 사기가 많아 불안불안 했는데우선 안심하셔도 되구요요리를 좋아하시지만 큰 용량대비 현실적인 공간이 협소해서 작은 용량의 4도어로 찾다 발견한 유레카 제품입니다 ㅋㅋ매장도 수없이 다녀보았지만 적은 용량은 600리터밖에 없었고 금액대도 800리터대랑 다를게 없더라구요어차피 고장난 냉장고가 670리터여서 큰 차이는 없지만 4도어라 그런지 안에 공간이 생각보다 넓어 좋았습니다. 그리고 냉장실!! 너무 맘에 들었어요저희집 냉장고는 2도어라 냉동실열면 잘못해서 떨어지기 일수고 찾기도 힘들었는데 이건 서랍식이라 찾기도 좋고 너무 깔끔하네요!!다음에 저희 냉장고 봐꿀때 여기서 구매해야겠네요!! ㅎㅎ다만.. 2018년도 모델이여서 냉장고문 스틸이.. 손자국이 엄청나는 재질이네요 ㅎㅎ 요새는 이런걸 감안해서 나오지만... 뭐.. 가격대비 아주 훌륭하다 생각합니다~!,100점,11번가,2020.09.09.,pi****
최고예요,"일딴 배송은 빨랐어요.저는 주문시 제가 오류가 있어서 일요일 주문하고 수요일에 설치했어요. 기존 쓰던 냉장고가 700조금 안 되는 거였어요. 용량을 너무 줄이는 거라 걱정.....베란다 쪽에 두는거라 요즘 나오는건 너무 툭 튀어나와서 불편할 것 같았어요. 가전제품은 무조건 1등급 사려고 했는데.....등급때문에 많이 망설이다. 기존 쓰던것하고 많이 차이가 없어 결정했어요. 저희집은 물을 많이 먹고 치즈나 음료류도 많이 먹는 편이고 소스류도 많고 냉동실에 이것 저것 많이 있어요. 아무리 정리해도 어느 순간 냉동실은 제가 뭘 두었는지도 모르겠구. 냉장실에 과일청, 장아찌, 젓갈도 많아서 뒤로 뒤로 보내다보니 정작 사용 하는건 앞쪽 구역만 쓰고 ......일딴 냉동실 용량이 비슷해도 서랍형이라 적게 들어가네요. 하지만 만족합니다. 뒤쪽에 뭐가 있는지도 모르는 것보다 냉장실은 채소 보관 할 공간이 적다는것 그래도 선반앞쪽이 넉넉해서 좋아요.아이들이 음료나 치즈랑 쉽게 꺼내기 좋아 좋아요. 왼쪽칸 선반도 커요. 냄비가 들어갈 정도는 아니지만",100점,11번가,2020.07.17.,ki****
최고예요,옛날집 구조라 냉장고 자리가 없어서 고민 많이 하다가 드디어 발견! 주위에서 다들 냉장고는 한번사면 오래쓴다며 800리터로 사라고들 했지만 오랜결정 끝에 결정내려 구매했는데 진짜 후회없습니다 저희집엔 이 크기가 딱이고! 더 큰걸로 샀으면 튀어나와 너무 보기 싫었을것 같애요! 사진과 동영상 보시다시피 안에 용량도 작지도 않아요! 실제로 보고 사실 와 이것도 크다 이 생각 들었어요ㅎ 이 가격대에 매직스테이션 기능까지 있어서 사실상 5도어! 너무너무 만족합니다. 고민말고 구매들 하시길.그리고 설치 후기는주문 이틀만에 배송해주겠다는 연락 받았어요제가 날짜를 좀 미루고 싶다니까 그날 당일 맞춰서 딱 연락 와주셨고요! 엘베없는 4층이였는데 사다리차 무상제공으로 능숙한 솜씨로 아무 흠집없이 베란다 창문 통해서 무사히 올려주셨습니다 자리를 어디로 잡을지 우왕좌왕 하는 저에게 친절히 자리도 잘 잡아서 수평도 잘 잡아 주시고 하나에서 열까지 설명 깔끔히 해주시고 뒷처리까지 깔끔히 해주시고 가셨습니다 더우신날 고생많으셨습니다 감사합니다,100점,11번가,2020.06.26.,hy****
최고예요,좀 오래 고민하고 산 냉장고인데 마음에 듭니다. ^^ 시간이 걸린다 하여 배송이 11월 중순에나 되려나 했는데 이틀 만에 왔고요. 배송해주신 기사님이 상세하게 설명도 잘 해 주시고 해서 설치가 잘 끝났습니다. 저는 따로 냉장고 장을 만들지 않아서 긴 장 옆에 두었는데 많이 튀어나오지 않아 좋네요. 양문 2도어를 12년 사용했더니 아직 상냉장 하냉동 구조에는 익숙하지 않아서 손이 어디로 가야할지 헤매지만 곧 익숙해지겠죠... 어제 오후부터 만 하루 사용하고 있는데... 현재 소리는 거의 안 나네요 필요할 때 모터 돌아가는 소리가 좀 나고요 어제는 처음이라 그런지 가동하는 소리가 좀 나더라고요 이 전에 사용하던 냉장고와 비교하면 전체 용량은 더 적은데 냉장실은 크게 작은 지 잘 모르겠고 하냉동실이 문 자체에 수납하는 공간이 없는 게 어색하긴 한데 칸에 세워 정리하기가 용이하고 앞으로 선반 자체를 끌어 당겨 볼 수 있어서 수납한 물건이 잘 확인이 되어 좋습니다 잘 사용할게요~^^,100점,11번가,2019.11.01.,S|****
최고예요,"주문번호 201912123156972아이디. huiimo 기존 냉장고 고장으로 급하게 바꾸게됐는데 빠르게 배송해주셔서 음식 상할일없이 교체했어요.배송전 미리미리 콜해주시고 먼저 올라와서 위치확인까지하신 다음에 기사님들 손발착착맞춰서 배송,폐가전수거,설치까지 일사천리로 해주셨습니다. 기존 냉장고보다 조금 작은 리터인데도 수납력 좋은거같아요.상부양쪽으로 넓게 열리니까 김치통등 큰 통들도 넣고빼기 편하고좋네요. 개인적으로 불편한건 냉동실 문쪽 수납칸이 없다는거.전 고추가루등 양념몇가진 문쪽에 놓고 사용했어서요 적응이 필요한거같아요. 또 냉장쪽 매직스페이스공간이 넘 유용한데 눌러닫아야하는걸 자꾸 깜빡하고 열어놓게되네요.이쪽은 열림알람기능이 없더라구요. 글구 한쪽문닫을때 반대쪽문이 살짝 열렸다닫히는게 있는데 자연스러운 공기흐름때문이라고 카톡안내문자에 설명을 첨부해주셔서 이해하게됐네요. 신혼냉장고에서 18년만에 갈아탔는데 오래오래 고장안나고 사용했음 좋겠어요.ㅎㅎ",100점,11번가,2019.12.15.,hu****
이번에 이사를 하면서 새로 냉장고를 구입했습니다 한짝짜,이번에 이사를 하면서 새로 냉장고를 구입했습니다 한짝짜리 살까 고민하다가 어차피 냉장고는 오래쓰는 거니까 양문으로 작은걸로 사자 싶어서 구매했어요 냉장고 고르다가 이 모델을 찾아서 매장에서 구매 가능한지 찾아봤는데 매장에서는 판매하지 않는 모델이라고 하더라고요 온라인 전용이라고ㅠ 그래서 인터넷 다 뒤져서 믿을만한 곳에 시켰어요 ㅎㅎ 이사온 곳이 구축 아파트라 ㅠㅠ 현관으로 들어올 때 기사님들 엄청 고생하셨습니다 ㅠㅠ 참고로 기사님은 엘지 기사님 두 분이 오셨고요 아무튼 현관 폭이 진짜 너무 좁아서 ㅠ 잘못하면 다음주 월요일에 사다리차 불러야 할수도 있다고 하셔서 걱정 많았는데ㅋㅋ 노련하신 기사님이 진짜 종잇장 같은 폭을 조절해서 끌고 들어오셨어요!! 너무 고생하셨네요 ㅠ 그리고 친절하게 잘 마무리 해주고 가셨습니다 쓰레기도 안나오게 다 가져가셨어요! 그리고 참고로 저는 결제를 이사하기 한참전에 해서 날짜 지정해서 받았습니다 원하는 날짜에 잘 받았어요 전체적으로 너무 맘에 들었습니다 냉장고도 혼자 쓰기에 널널하고 좋네요 ㅎㅎ,100점,SSG.COM,2021.04.24.,ho****
좋아요,"주문한 다음 날 배송문의 왔었고, 그 다음날 바로 도착했습니다. 굉장히 빠르게 도착했고, 설치도 잘 해주셨습니다. 이전에 사용하던 냉장고는 12년전에 구매한 제품이고, 720리터 정도 되었는데, 용량이 줄어들어 잘 사용할 수 있을까 걱정했는데, 구형 제품과 달리 구획이 잘 나눠져 있어, 심각하게 용량부족을 걱정할 필요는 없었네요. 소비전력도 줄어들었고, 새제품스러운 냄새도 거의 없어, 만족스럽습니다. 단점 하나는 재질을 적당한 두께의 메탈로 쓰다보니, 예전 냉장고들 처럼 두꺼운 문짝에 플라스틱 코팅 두껍게 입힌 제품보다는 소움이 더 나는것 같네요. 소음에 좀 민감한 편이라 검색을 좀 해봤는데, 예전같은 두꺼운 문짝의 냉장고는 브랜드를 막론하고 찾아볼 수가 없더군요. 냉장 온도가 적정 유지되면, 소음은 사라집니다. 이때는 거의 무소음에 가깝네요. 그래도, 냉장고문은 수시로 열고 닫기는데...그때마다 나는 소음은 어쩔수가 없네요.",80점,11번가,2019.05.30.,da****
5도어 냉장고 LG 세미빌트인 냉장고 f531s35,"지마켓 주문번호 3119218294, 아이디 roinrodwl새해 부터 이사 하게 되는 바람에지정일 배송부터, 워낙 인터넷구매는 지정일에 오기 어렵다는 인식이 강해서...친구한테도 걱정스러운 소릴 들었어요.냉장고 같은경우 예전부터 LG것 썼고... 옛날식 냉장고를 썼었터라옛날 모델로 살까도 했지만 최신식을 써보고싶은 마음에찾고 찾고 또 찾았더니 작은 용량의 세미빌트인이 있는걸 알게 됐네요.그러던중 베스트 지성 과 이렇게 인연이 닿았고12월 중순 쯔음에 시켰고 걱정하면서 지정일 배송 부탁드렸고정확하게 날짜 맞춰주셨어요예쁘고... 예쁘고 예쁜 우리 new식구 소음도 안느껴지구요 깔끔합니다단점은? 꼼꼼한 포장 덕분에 테이프 뜯기가 진짜 힘들더라구요 ㅎㅎㅎㅎ생각보다 냉장고장보다 안튀어나와서 빌트인일텐데... 문이 부딪히는점 다 열지 못하는점 그걸 간과하고 테이프 뜯고자 선반빼다 문긁힌점ㅜㅜ기사님 이사와중에 정신 없으셨을텐데 열심히 설치해주셔서 감사합니다.",100점,G마켓,2020.01.04.,ro****
좁은 집에서 사용하기 좋은 냉장고,"집이 좁아서 800리터 이상의 냉장고를 두기 어려운 상황에서 선택한 냉장고인데 크기가 적당해서 만족스럽니다. 16년 이상된 냉장고를 사용하다가 2018년에 출시된 냉장고를 구입해보니 매직스페이스, 냉동실 서랍형, 냉장실 변화가능한 공간 등, 훨씬 쓰기 좋게 만들어져있더군요. 만족스럽습니다. 이전 냉장고는 흰색이었는데 메탈색이라서 조금 어둡긴 하지만 세련되어 보이고 좋군요. 냉장고주문은 일요일에 했는데 배송이 목요일이 되었습니다. 주문받으신 곳에서는 금,토요일에 배송될 수 있다고 하신 것에 비해서는 빨리 온 셈이지요. 그리고 lg기사 두 분이 오셔서 설치해주셨는데 냉장고를 조심스럽게 이동해서 잘 설치해주셨고 설명도 잘 해주셨습니다. 주문처도 기사분들도 모두 친절하셨습니다. 기사분들이 모두 마스크를 착용하시고 오셨더군요. 고장나서 어쩔 수 없이 구매하게 되었지만 코로나 19 때문에 냉장고주문이 주저되었는데 염려하지 않아도 될 것 같습니다.",100점,인터파크,2020.05.19.,gs****
최고예요,집은 작고 좁고 기존쓰던 냉장고는 7년된 250리터 2도어 냉장고였어요전에는 집에서해먹고 하질않아서 못느꼈는데 이젠 직접 해먹고 냉동식품이라던지냉장식품 등 채우다보니 너무작아서 한달동안 사이즈며..용량이며..가격이며..계속 찾고찾다가 결국엔 LG에 정착했네요 ! 솔직히 이가격이면 더큰 용량에 양문형이여도 좋은냉장고 살수도있는데 집이좁아서 안들어가니 고민많이했는데그 고민이 헛되지않았네요 생각보다 넓직하고 배송도 잘해주셨고 문콕하나가 생겼지만 이무게를 아무래도 직접 옮겨주시다보니 있을수있는일이다 생각하고 괜찮다고 했습니다 ! 맴은 좀아푸지만 그래도 맘편합니다 ! 사이즈걱정이신분들은 고민말고 구매하세요 ㅋㅋ 혼자사는거치곤 뭐가정말많긴한데 2 -3인가족도 충분히 쓰실수 있을거같네요^^전 냉동식품이 정말많아서... 작은 냉동고가 하나더있어요...근데 냉동칸도 넓직하니 슬라이드라 너무좋아서 다옮겨놨네요 ㅋ.ㅋ속편합니돠 ~~~! ?,100점,11번가,2020.09.12.,wj****
